Produkt ID,Jednostka miary,Waga brutto,Waga netto,Jednostka wagi,Objetosc,Długosc,Szerokosc,Wysokosc,Indeks wymiar jednostka,Zawartosc,Zawartosc netto,Zawartosc brutto,Marka wlasna,OKRES_PRZYDATNOSCI_DNI,JEDNOSTKA_MIARY_MAGAZYN,LICZNIK_PRZELICZ_ZAWARTOSCI,MIANOWNIK_PRZELICZ_ZAWARTOSCI,PRZELICZNIK_ZAWARTOSCI,Liczba sztuk na palecie,Liczba sztuk w opakowaniu,Liczba sztuk w kartonie,Liczba sztuk w warstwie (palety),Cena zakupu,VAT
12003187,ST,0.205,0.205,KG,402.5,9.2,12.5,3.5,CM,KG,0.2,0.2,  ,21,OPA,3,1,3,2880,3,12,240,XXX,XXX
12003427,ST,0.035,0.035,KG,651,4.2,15.5,10,CM,KG,0.03,0.03,  ,270,OPA,8,1,8,2240,8,16,320,XXX,XXX
12003667,ST,0.19,0.19,KG,576,2,16,18,CM,KG,0.18,0.18,  ,28,OPA,2,1,2,1792,2,8,224,XXX,XXX
12003907,ST,0.1,0.1,KG,213.624,2.7,4.6,17.2,CM,L,0.09,0.09,  ,728,OPA,24,1,24,5376,24,24,384,XXX,XXX
18000158,ST,0.1,0.1,KG,0,0,0,0,CM,,0,0,  ,100,OPA,1,1,1,0,1,1,0,XXX,XXX
18000398,ST,0.1,0.1,KG,0,0,0,0,CM,,0,0,  ,100,OPA,1,1,1,0,1,1,0,XXX,XXX
18000638,ST,0.1,0.1,KG,0,0,0,0,CM,,0,0,  ,100,OPA,1,1,1,0,1,1,0,XXX,XXX
18000878,ST,0.1,0.1,KG,0,0,0,0,CM,,0,0,  ,100,OPA,1,1,1,0,1,1,0,XXX,XXX
18001118,ST,0.1,0.1,KG,0,0,0,0,CM,,0,0,  ,100,OPA,1,1,1,0,1,1,0,XXX,XXX
18001358,ST,0.1,0.1,KG,0,0,0,0,CM,,0,0,  ,100,OPA,1,1,1,0,1,1,0,XXX,XXX
18001598,ST,0.1,0.1,KG,0,0,0,0,CM,,0,0,  ,100,OPA,1,1,1,0,1,1,0,XXX,XXX
18001838,ST,0.1,0.1,KG,0,0,0,0,CM,,0,0,  ,100,OPA,1,1,1,0,1,1,0,XXX,XXX
20000109,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
20000349,KG,0,0,KG,0,0,0,0,CM,,0,0,  ,0,KG,1,1,1,0,,,,XXX,XXX
20000589,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
20000829,ST,0,0,KG,0,0,0,0,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
60003679,ST,0,0,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,0,0,380,XXX,XXX
60006319,ST,0.001,0.001,KG,0,0,0,0,,KG,0,0,  ,0,ST,1,1,1,0,0,0,1200,XXX,XXX
60012319,ST,0.001,0.001,KG,0.001,0.1,0.1,0.1,CM,L,0,0,  ,0,ST,1,1,1,0,0,0,1,XXX,XXX
60013039,ST,0.001,0.001,KG,0.001,0.1,0.1,0.1,CM,L,0,0,  ,0,ST,1,1,1,0,0,0,1,XXX,XXX
60013519,ST,0.001,0.001,KG,0.001,0.1,0.1,0.1,CM,L,0,0,  ,0,ST,1,1,1,0,0,0,1,XXX,XXX
60013999,ST,0.001,0.001,KG,0.001,0.1,0.1,0.1,CM,L,0,0,  ,0,ST,1,1,1,0,0,0,1,XXX,XXX
60020960,ST,0.1,0.1,KG,0.001,0.1,0.1,0.1,CM,,0,0,  ,9999,ST,1,1,1,0,,,,XXX,XXX
60021920,ST,0.1,0.1,KG,0.001,0.1,0.1,0.1,CM,,0,0,  ,9999,ST,1,1,1,0,,,,XXX,XXX
60022160,ST,0.1,0.1,KG,0.001,0.1,0.1,0.1,CM,,0,0,  ,9999,ST,1,1,1,0,,,,XXX,XXX
60022400,ST,0.1,0.1,KG,0.001,0.1,0.1,0.1,CM,,0,0,  ,9999,ST,1,1,1,0,,,,XXX,XXX
70000072,ST,0,0,KG,0,0,0,0,,,0,0,,,,,,,,,,,XXX,XXX
70000312,ST,0,0,KG,0,0,0,0,,,0,0,,,,,,,,,,,XXX,XXX
70001512,ST,0,0,KG,0,0,0,0,,,0,0,,,,,,,,,,,XXX,XXX
70001992,ST,0,0,KG,0,0,0,0,,,0,0,,,,,,,,,,,XXX,XXX
70002232,ST,0,0,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
80202628,ST,0.005,0,KG,4.8,4,6,0.2,CM,,0,0,  ,0,ST,1,1,1,0,25,1000,0,XXX,XXX
80210548,ST,0.1,0,KG,0.001,0.1,0.1,0.1,CM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
80400151,ST,0.17,0.17,KG,0,0,0,0,,,0,0,  ,0,OPA,5,1,5,0,5,5,0,XXX,XXX
80400391,ST,0,0,KG,0,0,0,0,CM,KG,0.55,0.55,  ,0,ST,1,1,1,0,,,,XXX,XXX
80400631,ST,0.105,0.105,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
80400871,ST,0.16,0.16,KG,0.35,7,20,2.5,CM,,0,0,X ,0,ST,1,1,1,0,,,,XXX,XXX
80401111,ST,0.105,0.105,KG,0,0,0,0,,,0,0,X ,0,ST,1,1,1,0,,,,XXX,XXX
80410231,ST,0.1,0.1,KG,64,4,4,4,CM,KG,0.073,0.073,  ,9999,ST,1,1,1,0,,,,XXX,XXX
9000001614,ST,0,0,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
9000002094,ST,405,0,KG,4.902,2500,945,2075,MM,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
9000002574,ST,0,0,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
9000002814,ST,0,0,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
9000003054,ST,0,0,KG,0,0,0,0,,,0,0,  ,0,ST,1,1,1,0,,,,XXX,XXX
